# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft//nt/ -f 175 -c 0 -o /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed
# Runtime:        05/07/2021 15:28:44
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:0
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed-f175-seq20-site0
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed-f175-seq20-site0/aln-stats-f175-seq20-site0.tab
# ----------------
# 05.07.2021 | 15:28:44 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	188	200	180.1755319148936	186	1	53	0	1	200	200	68	135	132	131.76296296296297	128	3	0	6	0	2	2
ENSMUSP00000000834-mafft-cds.fa	188	141	69.97340425531915	135	18	97	0	0	122	95	44	91	97	95.4065934065934	77	6	0	9	0	3	2
ENSMUSP00000001027-mafft-cds.fa	188	906	736.9574468085107	188	0	64	0	3	906	862	715	124	191	190.78225806451613	122	1	0	14	1	1	1
ENSMUSP00000001284-mafft-cds.fa	188	45	27.090425531914892	57	14	187	1	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	188	152	139.0531914893617	184	2	26	0	1	152	152	85	162	67	66.96296296296296	126	12	0	5	0	1	1
ENSMUSP00000001724-mafft-cds.fa	188	613	554.75	188	0	17	0	38	526	502	508	171	105	103.96491228070175	168	1	0	1	0	2	1
ENSMUSP00000003135-mafft-cds.fa	188	352	323.17021276595744	188	0	20	0	10	352	347	306	168	46	43.98809523809524	107	12	0	2	7	3	1
ENSMUSP00000003554-mafft-cds.fa	187	243	161.97860962566844	185	1	151	0	0	243	221	53	36	190	189.0	36	0	0	84	0	1	0
ENSMUSP00000003818-mafft-cds.fa	188	210	165.8244680851064	180	4	103	0	1	190	190	53	85	157	156.95294117647057	83	1	0	20	0	1	1
ENSMUSP00000004133-mafft-cds.fa	188	782	694.5106382978723	188	0	20	0	1	782	778	451	168	331	329.0059523809524	162	3	0	27	0	2	0
ENSMUSP00000004565-mafft-cds.fa	188	205	163.3031914893617	184	2	64	0	0	205	205	204	124	1	0.8225806451612904	1	2	22	0	0	1	1
ENSMUSP00000004994-mafft-cds.fa	188	441	391.25	188	0	31	4	0	374	374	398	157	43	42.98089171974522	84	19	0	7	0	1	1
ENSMUSP00000005470-mafft-cds.fa	188	274	242.09574468085106	188	0	33	0	0	274	274	68	155	206	205.92903225806452	148	3	0	32	0	1	1
