# HyPhy output parser
# PYTHON VERSION: 3.9.4
# Script call:    /home/gt156213e/bin/hyphy-interface/hyphy_to_csv.py -i full-coding-absrel-pared/ -m absrel -o full-coding-absrel-pared.csv --overwrite
# Runtime:        01/28/2022 08:30:14
# ----------------
# IO OPTIONS
# Input directory:       full-coding-absrel-pared/
# Hyphy model:           absrel
# Output file:           full-coding-absrel-pared.csv
# --overwrite set:       Overwriting previous output file.
# ----------------
# 01.28.2022 | 08:30:14 Begin parsing Hyphy output...
file,baseline mean omega,baseline median omega,num branches,num branches pval less than alpha
ENSMUSP00000139479-mafft-cds.filter.json,166666666.9852993,0.2436384185564495,107,0
ENSMUSP00000040248-mafft-cds.filter.json,113636364.2910077,0.4615228112100261,152,2
ENSMUSP00000022197-mafft-cds.filter.json,208333333.5833365,0.1411131888516904,140,1
ENSMUSP00000131895-mafft-cds.filter.json,84745763.06127258,0.2890922690032252,133,0
ENSMUSP00000078302-mafft-cds.filter.json,109890110.1404957,0.1639522840944228,146,2
ENSMUSP00000142140-mafft-cds.filter.json,142857143.1089025,0.1939882504522223,83,0
ENSMUSP00000022203-mafft-cds.filter.json,526315789.7136831,0.2113272238782306,130,0
ENSMUSP00000140687-mafft-cds.filter.json,434782608.9849308,0.2060921059777512,149,1
ENSMUSP00000036945-mafft-cds.filter.json,71942446.52248967,0.3940767865870193,173,1
ENSMUSP00000040048-mafft-cds.filter.json,526315789.7459502,0.2309256585772626,132,0
ENSMUSP00000078372-mafft-cds.filter.json,66225165.99734657,0.3122593365712732,194,0
ENSMUSP00000078207-mafft-cds.filter.json,0.5391492892281562,0.5269431649496898,69,0
ENSMUSP00000047275-mafft-cds.filter.json,2500000000.348516,0.6970316056613803,108,0
ENSMUSP00000022212-mafft-cds.filter.json,256410256.5423209,0.08299510182262392,189,0
ENSMUSP00000046380-mafft-cds.filter.json,95238095.76454186,0.4178171098117929,158,0
ENSMUSP00000141997-mafft-cds.filter.json,0.2610529443099342,0.2267983492619875,78,2
ENSMUSP00000041009-mafft-cds.filter.json,192307692.5554907,0.1952646858617644,151,0
ENSMUSP00000022213-mafft-cds.filter.json,74626865.85075365,0.1195969818947158,184,6
ENSMUSP00000078407-mafft-cds.filter.json,172413793.6098003,0.4522850050706254,159,0
ENSMUSP00000078723-mafft-cds.filter.json,227272727.7614174,0.5148820799519649,149,0
ENSMUSP00000140951-mafft-cds.filter.json,370370370.7934179,0.4299163911970989,154,0
ENSMUSP00000022217-mafft-cds.filter.json,113636364.1951016,0.529188886743843,94,4
ENSMUSP00000022228-mafft-cds.filter.json,588235294.4256042,0.2738438691051289,136,0
ENSMUSP00000022218-mafft-cds.filter.json,2500000000.365603,0.7312066488773379,110,0
ENSMUSP00000034592-mafft-cds.filter.json,0.09486251259386105,0.0377414924407268,200,17
ENSMUSP00000078886-mafft-cds.filter.json,909090909.4153789,0.4418190683786318,138,1
ENSMUSP00000048836-mafft-cds.filter.json,101010101.3809962,0.3026809357362226,174,0
ENSMUSP00000036580-mafft-cds.filter.json,1428571428.896194,0.4105168582062647,176,0
ENSMUSP00000096280-mafft-cds.filter.json,99009901.19770558,0.1324022616820899,161,2
ENSMUSP00000141803-mafft-cds.filter.json,117647059.1323522,0.2426271996446852,95,0
